      DatasetID	DatasetName	PortalURI	NumMatchingSubjects	AvailableImageModalities
http://neurobagel.org/vocab/0f2f957a-7979-442c-92fc-b1f68c0d3b50	Human hippocampal replay during rest prioritizes weakly learned information and predicts memory performance	https://github.com/OpenNeuroDatasets-JSONLD/ds001454.git	1	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/15abcd42-0f61-4b44-81bf-7b51ba15b14e	rsfMRI_single_session_EEG_NF	https://github.com/OpenNeuroDatasets-JSONLD/ds001408.git	1	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/1da7b8b5-ab4d-443d-becf-5a791934cff9	Brainstorm Tutorial ECoG/sEEG	https://github.com/OpenNeuroDatasets-JSONLD/ds001868.git	1	http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/2fcca4f2-cac1-4353-8979-e97ec066321a	MASiVar: Multisite, Multiscanner, and Multisubject Acquisitions for Studying Variability in Diffusion Weighted Magnetic Resonance Imaging	https://github.com/OpenNeuroDatasets-JSONLD/ds003416.git	2	http://purl.org/nidash/nidm#DiffusionWeighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/30730eca-b52d-472f-a4ce-8ed9f3b9f25b	Fear in the mind's eye: Mental imagery can generate and regulate acquired differential fear conditioned reactivity	https://github.com/OpenNeuroDatasets-JSONLD/ds003425.git	1	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/35fe98c8-c59e-496b-9fef-a269dc6221d9	Individual Brain Charting	https://github.com/OpenNeuroDatasets-JSONLD/ds000244.git	2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#DiffusionWeighted, http://purl.org/nidash/nidm#T2Weighted
http://neurobagel.org/vocab/436199cb-9565-470b-97b9-9e24a58a849f	EuskalIBUR	https://github.com/OpenNeuroDatasets-JSONLD/ds003192.git	1	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#T2Weighted
http://neurobagel.org/vocab/6dc4c94c-fbaf-49c0-a83a-382a114ae640	Short-term consumption of sucralose with, but not without, carbohydrate impairs neural and metabolic sensitivity to sugar	https://github.com/OpenNeuroDatasets-JSONLD/ds002419.git	3	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted
http://neurobagel.org/vocab/76d13c97-851b-4e0e-af95-31a711533bc5	Cost Analysis TBI	https://github.com/OpenNeuroDatasets-JSONLD/ds000220.git	2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/7d549767-e704-4fe2-af64-3fa698009743	Human es-fMRI Resource: Concurrent deep-brain stimulation and whole-brain functional MRI	https://github.com/OpenNeuroDatasets-JSONLD/ds002799.git	3	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T2Weighted
http://neurobagel.org/vocab/8e6ee92c-b7cc-4483-8dd1-665b64eb8901	NRM2018 PET Grand Challenge Dataset	https://github.com/OpenNeuroDatasets-JSONLD/ds001705.git	1	http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/9f90a632-9cd3-468e-8bc4-a67451fbf504	IBC	https://github.com/OpenNeuroDatasets-JSONLD/ds002685.git	2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#DiffusionWeighted, http://purl.org/nidash/nidm#T2Weighted
http://neurobagel.org/vocab/bdc7da23-0c2b-47e3-8ed3-4322c73ef964	Protecting the Aging Brain, Bolus-Study	https://github.com/OpenNeuroDatasets-JSONLD/ds003453.git	4	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted
http://neurobagel.org/vocab/d4aa4cd5-0d93-49df-ba68-c4a4ecdfb690	DMCC55B	https://github.com/OpenNeuroDatasets-JSONLD/ds003465.git	3	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T2Weighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/f45624f2-55f2-43b1-84fe-07d941a1b33a	ds000006	https://github.com/OpenNeuroDatasets-JSONLD/ds000006.git	1	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T2Weighted, http://purl.org/nidash/nidm#T1Weighted
http://neurobagel.org/vocab/fe8d6c2e-7862-42e5-87a3-582865d9e8ee	DMCC13benchmark	https://github.com/OpenNeuroDatasets-JSONLD/ds003452.git	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T2Weighted
